Site,First_obs,Last_obs,Span_yr,Available,Processed,Not_estimated,No_solution,source_file,IGS_ID,SiteName,Latitude_deg,Longitude_deg,Ellipsoidal_height_m,Antenna_model,Antenna_serial,Antenna_height_m,Receiver_model,Receiver_serial,DOMES_number,Operator_institution
NARS,12-07-2022,11-07-2026,4.0,1165,1154,8,0,data/processed/candidates_summary/candidates_summary.csv,NARS00KAZ,Aralsk,46.800017622,61.6767517,33.688,LEIAR25.R4,726653,0.0,LEICA GR30,1701663,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
DBOZ,28-06-2022,11-07-2026,4.0,1423,1411,12,0,data/processed/QGEO-KZ_Preliminary_Stability_Assessment_MIRASpaco/table_page004_idx01.csv,DBOZ00KAZ,Bozoy,46.222289297,58.81900802,113.045,LEIAR25.R4,727382,0.0,LEICA GR50,2090089,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
DBOZ,28-06-2022,11-07-2026,4.0,1423,1411,12,0,data/processed/candidates_summary/candidates_summary.csv,DBOZ00KAZ,Bozoy,46.222289297,58.81900802,113.045,LEIAR25.R4,727382,0.0,LEICA GR50,2090089,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
DBOZ,28-06-2022,11-07-2026,4.0,1423,1411,12,0,data/processed/candidates_summary/candidates_summary.csv,DBOZ00KAZ,Bozoy,46.222289297,58.81900802,113.045,LEIAR25.R4,727382,0.0,LEICA GR50,2090089,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
CKSH,28-06-2022,21-06-2026,4.0,1278,1266,12,0,data/processed/candidates_summary/candidates_summary.csv,CKSH00KAZ,Kokshetau,53.274742367,69.40062228,216.243,LEIAR25.R4,727404,0.0,LEICA GR50,2090129,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
CKSH,28-06-2022,21-06-2026,4.0,1278,1266,12,0,data/processed/candidates_summary/candidates_summary.csv,CKSH00KAZ,Kokshetau,53.274742367,69.40062228,216.243,LEIAR25.R4,727404,0.0,LEICA GR50,2090129,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
CKSH,28-06-2022,21-06-2026,4.0,1278,1266,12,0,data/processed/QGEO-KZ_Preliminary_Stability_Assessment_MIRASpaco/table_page004_idx01.csv,CKSH00KAZ,Kokshetau,53.274742367,69.40062228,216.243,LEIAR25.R4,727404,0.0,LEICA GR50,2090129,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
PUZK,28-06-2022,11-07-2026,4.0,1359,1342,17,0,data/processed/candidates_summary/candidates_summary.csv,PUZK00KAZ,Uzynkol',54.036882457,65.339008239,162.664,LEIAR25.R4,727379,0.0,LEICA GR50,2090138,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
PUZK,28-06-2022,11-07-2026,4.0,1359,1342,17,0,data/processed/candidates_summary/candidates_summary.csv,PUZK00KAZ,Uzynkol',54.036882457,65.339008239,162.664,LEIAR25.R4,727379,0.0,LEICA GR50,2090138,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
PUZK,28-06-2022,11-07-2026,4.0,1359,1342,17,0,data/processed/QGEO-KZ_Preliminary_Stability_Assessment_MIRASpaco/table_page005_idx01.csv,PUZK00KAZ,Uzynkol',54.036882457,65.339008239,162.664,LEIAR25.R4,727379,0.0,LEICA GR50,2090138,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
TNIS,28-06-2022,11-07-2026,4.0,1380,1371,9,0,data/processed/candidates_summary/candidates_summary.csv,TNIS00KAZ,Novoishymskoye,53.205712022,66.810023377,165.463,LEIAR25.R4,726636,0.0,LEICA GR30,1701690,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
TNIS,28-06-2022,11-07-2026,4.0,1380,1371,9,0,data/processed/candidates_summary/candidates_summary.csv,TNIS00KAZ,Novoishymskoye,53.205712022,66.810023377,165.463,LEIAR25.R4,726636,0.0,LEICA GR30,1701690,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
TNIS,28-06-2022,11-07-2026,4.0,1380,1371,9,0,data/processed/QGEO-KZ_Preliminary_Stability_Assessment_MIRASpaco/table_page005_idx01.csv,TNIS00KAZ,Novoishymskoye,53.205712022,66.810023377,165.463,LEIAR25.R4,726636,0.0,LEICA GR30,1701690,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
MKRJ,28-06-2022,11-07-2026,4.0,1434,1422,12,0,data/processed/candidates_summary/candidates_summary.csv,MKRJ00KAZ,Karazhal,48.00132829,70.787834657,443.51,LEIAR25.R4,Unknown,0.0,LEICA GR30,1701687,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
MKRJ,28-06-2022,11-07-2026,4.0,1434,1422,12,0,data/processed/candidates_summary/candidates_summary.csv,MKRJ00KAZ,Karazhal,48.00132829,70.787834657,443.51,LEIAR25.R4,Unknown,0.0,LEICA GR30,1701687,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
MKRJ,28-06-2022,11-07-2026,4.0,1434,1422,12,0,data/processed/QGEO-KZ_Preliminary_Stability_Assessment_MIRASpaco/table_page005_idx01.csv,MKRJ00KAZ,Karazhal,48.00132829,70.787834657,443.51,LEIAR25.R4,Unknown,0.0,LEICA GR30,1701687,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
MSAT,28-06-2022,11-07-2026,4.0,1408,1384,24,0,data/processed/QGEO-KZ_Preliminary_Stability_Assessment_MIRASpaco/table_page005_idx01.csv,MSAT00KAZ,Satpaev,47.908296704,67.528650468,403.007,LEIAR25.R4,727391,0.0,LEICA GR50,2090081,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
MSAT,28-06-2022,11-07-2026,4.0,1408,1384,24,0,data/processed/candidates_summary/candidates_summary.csv,MSAT00KAZ,Satpaev,47.908296704,67.528650468,403.007,LEIAR25.R4,727391,0.0,LEICA GR50,2090081,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
MSAT,28-06-2022,11-07-2026,4.0,1408,1384,24,0,data/processed/candidates_summary/candidates_summary.csv,MSAT00KAZ,Satpaev,47.908296704,67.528650468,403.007,LEIAR25.R4,727391,0.0,LEICA GR50,2090081,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
MAKD,01-09-2022,21-06-2026,3.8,1169,1156,10,0,data/processed/candidates_summary/candidates_summary.csv,MAKD00KAZ,Akadyr,48.24880004,72.860872663,674.924,LEIAR25.R4,726650,0.0,LEICA GR30,1701179,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
MAKD,01-09-2022,21-06-2026,3.8,1169,1156,10,0,data/processed/candidates_summary/candidates_summary.csv,MAKD00KAZ,Akadyr,48.24880004,72.860872663,674.924,LEIAR25.R4,726650,0.0,LEICA GR30,1701179,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
MAKD,01-09-2022,21-06-2026,3.8,1169,1156,10,0,data/processed/QGEO-KZ_Preliminary_Stability_Assessment_MIRASpaco/table_page005_idx01.csv,MAKD00KAZ,Akadyr,48.24880004,72.860872663,674.924,LEIAR25.R4,726650,0.0,LEICA GR30,1701179,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
SEKB,27-06-2022,21-06-2026,4.0,1300,1288,12,0,data/processed/QGEO-KZ_Preliminary_Stability_Assessment_MIRASpaco/table_page005_idx01.csv,SEKB00KAZ,Ekibastuz,51.728466371,75.328476257,176.539,LEIAR25.R4,10471014,0.0,LEICA GR30,1701703,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
SEKB,27-06-2022,21-06-2026,4.0,1300,1288,12,0,data/processed/candidates_summary/candidates_summary.csv,SEKB00KAZ,Ekibastuz,51.728466371,75.328476257,176.539,LEIAR25.R4,10471014,0.0,LEICA GR30,1701703,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
SEKB,27-06-2022,21-06-2026,4.0,1300,1288,12,0,data/processed/candidates_summary/candidates_summary.csv,SEKB00KAZ,Ekibastuz,51.728466371,75.328476257,176.539,LEIAR25.R4,10471014,0.0,LEICA GR30,1701703,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
SSHB,17-11-2022,11-07-2026,3.6,1174,1168,5,0,data/processed/QGEO-KZ_Preliminary_Stability_Assessment_MIRASpaco/table_page005_idx01.csv,SSHB00KAZ,Sharbakty,51.390289826,78.2914003,126.466,LEIAR25.R4,726637,0.0,LEICA GR30,1701713,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
SSHB,17-11-2022,11-07-2026,3.6,1174,1168,5,0,data/processed/candidates_summary/candidates_summary.csv,SSHB00KAZ,Sharbakty,51.390289826,78.2914003,126.466,LEIAR25.R4,726637,0.0,LEICA GR30,1701713,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
SSHB,17-11-2022,11-07-2026,3.6,1174,1168,5,0,data/processed/candidates_summary/candidates_summary.csv,SSHB00KAZ,Sharbakty,51.390289826,78.2914003,126.466,LEIAR25.R4,726637,0.0,LEICA GR30,1701713,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
FCKP,18-10-2022,28-06-2026,3.7,1125,1114,10,0,data/processed/QGEO-KZ_Preliminary_Stability_Assessment_MIRASpaco/table_page004_idx01.csv,FCKP00KAZ,Kokpekty,48.75499802,82.385156274,493.104,LEIAR25.R4,727390,0.0,LEICA GR50,2090093,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
FCKP,18-10-2022,28-06-2026,3.7,1125,1114,10,0,data/processed/candidates_summary/candidates_summary.csv,FCKP00KAZ,Kokpekty,48.75499802,82.385156274,493.104,LEIAR25.R4,727390,0.0,LEICA GR50,2090093,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
FCKP,18-10-2022,28-06-2026,3.7,1125,1114,10,0,data/processed/candidates_summary/candidates_summary.csv,FCKP00KAZ,Kokpekty,48.75499802,82.385156274,493.104,LEIAR25.R4,727390,0.0,LEICA GR50,2090093,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
BUSH,27-06-2022,11-07-2026,4.0,1305,1293,12,0,data/processed/QGEO-KZ_Preliminary_Stability_Assessment_MIRASpaco/table_page004_idx01.csv,BUSH00KAZ,Usharal,46.174951624,80.951986506,353.329,LEIAR25.R4,726659,0.0,LEICA GR30,1701695,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
BUSH,27-06-2022,11-07-2026,4.0,1305,1293,12,0,data/processed/candidates_summary/candidates_summary.csv,BUSH00KAZ,Usharal,46.174951624,80.951986506,353.329,LEIAR25.R4,726659,0.0,LEICA GR30,1701695,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
BUSH,27-06-2022,11-07-2026,4.0,1305,1293,12,0,data/processed/candidates_summary/candidates_summary.csv,BUSH00KAZ,Usharal,46.174951624,80.951986506,353.329,LEIAR25.R4,726659,0.0,LEICA GR30,1701695,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
ZNUR,28-06-2022,11-07-2026,4.0,1375,1364,11,0,data/processed/QGEO-KZ_Preliminary_Stability_Assessment_MIRASpaco/table_page005_idx01.csv,ZNUR00KAZ,Astana,51.176191889,71.338148442,319.495,LEIAR25.R4,726663,0.0,LEICA GR50,1871763,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
ZNUR,28-06-2022,11-07-2026,4.0,1375,1364,11,0,data/processed/candidates_summary/candidates_summary.csv,ZNUR00KAZ,Astana,51.176191889,71.338148442,319.495,LEIAR25.R4,726663,0.0,LEICA GR50,1871763,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
ZNUR,28-06-2022,11-07-2026,4.0,1375,1364,11,0,data/processed/candidates_summary/candidates_summary.csv,ZNUR00KAZ,Astana,51.176191889,71.338148442,319.495,LEIAR25.R4,726663,0.0,LEICA GR50,1871763,,RSE National Centre of Geodesy and Spatial Information (Kazakhstan)
